"","eventID","occurrenceID","scientificName","acceptedNameUsageID","recordedBy","taxonRank","organismQuantityType","basisOfRecord"
"1","1_1929-12-01","1_1929-12-01_A12","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"2","1_1929-12-01","1_1929-12-01_A60","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"3","1_1929-12-01","1_1929-12-01_A63","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"4","1_1929-12-01","1_1929-12-01_A75","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"5","3_1929-12-01","3_1929-12-01_A55","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"6","3_1929-12-01","3_1929-12-01_A67","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"7","3_1929-12-01","3_1929-12-01_A76","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"8","3_1929-12-01","3_1929-12-01_A79","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"9","3_1929-12-01","3_1929-12-01_A91","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"10","1_1929-12-01","1_1929-12-01_A147","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"11","1_1929-12-01","1_1929-12-01_A150","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"12","2_1930-02-13","2_1930-02-13_A131","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"13","3_1929-12-01","3_1929-12-01_A106","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"14","3_1929-12-01","3_1929-12-01_A121","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"15","3_1929-12-01","3_1929-12-01_A130","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"16","1_1929-12-01","1_1929-12-01_A132","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"17","1_1929-12-01","1_1929-12-01_A54","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"18","1_1929-12-01","1_1929-12-01_A81","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"19","1_1929-12-01","1_1929-12-01_A42","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"20","1_1929-12-01","1_1929-12-01_A27","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"21","1_1929-12-01","1_1929-12-01_A129","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"22","1_1929-12-01","1_1929-12-01_A18","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"23","2_1930-02-13","2_1930-02-13_A77","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"24","2_1930-02-13","2_1930-02-13_A2","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"25","2_1930-02-13","2_1930-02-13_A32","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"26","2_1930-02-13","2_1930-02-13_A74","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"27","2_1930-02-13","2_1930-02-13_A137","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"28","2_1930-02-13","2_1930-02-13_A110","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"29","3_1929-12-01","3_1929-12-01_A43","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"30","3_1929-12-01","3_1929-12-01_A124","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"31","1_1929-12-01","1_1929-12-01_A39","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"32","2_1930-02-13","2_1930-02-13_A39","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"33","3_1929-12-01","3_1929-12-01_A25","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"34","3_1929-12-01","3_1929-12-01_A34","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"35","3_1929-12-01","3_1929-12-01_A49","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"36","3_1929-12-01","3_1929-12-01_A4","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"37","1_1929-12-01","1_1929-12-01_A57","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"38","1_1929-12-01","1_1929-12-01_A66","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"39","2_1930-02-13","2_1930-02-13_A71","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"40","1_1929-12-01","1_1929-12-01_A111","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"41","1_1929-12-01","1_1929-12-01_A138","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"42","2_1930-02-13","2_1930-02-13_A104","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"43","2_1930-02-13","2_1930-02-13_A128","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"44","2_1930-02-13","2_1930-02-13_A143","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"45","3_1929-12-01","3_1929-12-01_A148","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"46","1_1929-12-01","1_1929-12-01_A3","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"47","2_1930-02-13","2_1930-02-13_A8","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"48","3_1929-12-01","3_1929-12-01_A31","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"49","2_1930-02-13","2_1930-02-13_A50","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"50","1_1929-12-01","1_1929-12-01_A36","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"51","3_1929-12-01","3_1929-12-01_A7","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"52","3_1929-12-01","3_1929-12-01_A28","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"53","3_1929-12-01","3_1929-12-01_A73","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"54","3_1929-12-01","3_1929-12-01_A88","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"55","2_1930-02-13","2_1930-02-13_A65","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"56","1_1929-12-01","1_1929-12-01_A96","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"57","3_1929-12-01","3_1929-12-01_A58","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"58","2_1930-02-13","2_1930-02-13_A83","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"59","1_1929-12-01","1_1929-12-01_A105","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"60","2_1930-02-13","2_1930-02-13_A101","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"61","1_1929-12-01","1_1929-12-01_A99","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"62","1_1929-12-01","1_1929-12-01_A48","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"63","1_1929-12-01","1_1929-12-01_A141","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"64","1_1929-12-01","1_1929-12-01_A102","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"65","1_1929-12-01","1_1929-12-01_A24","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"66","1_1929-12-01","1_1929-12-01_A45","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"67","2_1930-02-13","2_1930-02-13_A119","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"68","2_1930-02-13","2_1930-02-13_A14","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"69","2_1930-02-13","2_1930-02-13_A107","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"70","2_1930-02-13","2_1930-02-13_A35","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"71","2_1930-02-13","2_1930-02-13_A146","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"72","3_1929-12-01","3_1929-12-01_A118","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"73","3_1929-12-01","3_1929-12-01_A46","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"74","3_1929-12-01","3_1929-12-01_A139","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"75","3_1929-12-01","3_1929-12-01_A142","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"76","1_1929-12-01","1_1929-12-01_A117","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"77","2_1930-02-13","2_1930-02-13_A113","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"78","3_1929-12-01","3_1929-12-01_A37","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"79","3_1929-12-01","3_1929-12-01_A97","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"80","1_1929-12-01","1_1929-12-01_A120","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"81","3_1929-12-01","3_1929-12-01_A16","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"82","3_1929-12-01","3_1929-12-01_A70","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"83","1_1929-12-01","1_1929-12-01_A30","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"84","1_1929-12-01","1_1929-12-01_A84","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"85","3_1929-12-01","3_1929-12-01_A103","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"86","3_1929-12-01","3_1929-12-01_A127","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"87","2_1930-02-13","2_1930-02-13_A92","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"88","3_1929-12-01","3_1929-12-01_A40","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"89","2_1930-02-13","2_1930-02-13_A89","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"90","2_1930-02-13","2_1930-02-13_A95","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"91","1_1929-12-01","1_1929-12-01_A33","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"92","1_1929-12-01","1_1929-12-01_A9","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"93","2_1930-02-13","2_1930-02-13_A20","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"94","3_1929-12-01","3_1929-12-01_A10","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"95","3_1929-12-01","3_1929-12-01_A134","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"96","1_1929-12-01","1_1929-12-01_A87","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"97","2_1930-02-13","2_1930-02-13_A59","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"98","2_1930-02-13","2_1930-02-13_A68","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"99","2_1930-02-13","2_1930-02-13_A86","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"100","2_1930-02-13","2_1930-02-13_A98","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"101","3_1929-12-01","3_1929-12-01_A61","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"102","3_1929-12-01","3_1929-12-01_A100","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"103","2_1930-02-13","2_1930-02-13_A134","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"104","3_1929-12-01","3_1929-12-01_A109","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"105","3_1929-12-01","3_1929-12-01_A145","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"106","3_1929-12-01","3_1929-12-01_A1","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"107","2_1930-02-13","2_1930-02-13_A5","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"108","1_1929-12-01","1_1929-12-01_A15","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"109","1_1929-12-01","1_1929-12-01_A21","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"110","2_1930-02-13","2_1930-02-13_A26","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"111","2_1930-02-13","2_1930-02-13_A38","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"112","2_1930-02-13","2_1930-02-13_A41","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"113","1_1929-12-01","1_1929-12-01_A69","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"114","1_1929-12-01","1_1929-12-01_A108","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"115","2_1930-02-13","2_1930-02-13_A125","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"116","1_1929-12-01","1_1929-12-01_A135","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"117","3_1929-12-01","3_1929-12-01_A136","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"118","2_1930-02-13","2_1930-02-13_A140","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"119","1_1929-12-01","1_1929-12-01_A144","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"120","2_1930-02-13","2_1930-02-13_A149","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"121","3_1929-12-01","3_1929-12-01_A82","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"122","3_1929-12-01","3_1929-12-01_A22","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"123","3_1929-12-01","3_1929-12-01_A52","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"124","2_1930-02-13","2_1930-02-13_A23","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"125","2_1930-02-13","2_1930-02-13_A47","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"126","1_1929-12-01","1_1929-12-01_A78","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"127","2_1930-02-13","2_1930-02-13_A80","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"128","3_1929-12-01","3_1929-12-01_A64","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"129","2_1930-02-13","2_1930-02-13_A116","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"130","2_1930-02-13","2_1930-02-13_A29","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"131","2_1930-02-13","2_1930-02-13_A122","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"132","3_1929-12-01","3_1929-12-01_A112","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"133","2_1930-02-13","2_1930-02-13_A62","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"134","2_1930-02-13","2_1930-02-13_A17","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
"135","2_1930-02-13","2_1930-02-13_A53","Iris setosa","ITIS:43195","Edgar Anderson","Species","individuals","Human observation"
